,Politician,Google Search Results
0,"""Conseillère nationale Laurence Fehlmann Rielle""",About 299 results (0.44 seconds) 
1,"""Conseiller national Olivier Feller""","About 3,460 results (0.51 seconds) "
2,"""Nationalrätin Yvonne Feri""","About 5,830 results (0.48 seconds) "
3,"""Nationalrätin Doris Fiala""","About 7,540 results (0.56 seconds) "
4,"""Nationalrat Roland Fischer""","About 2,130 results (0.43 seconds) "
5,"""Conseiller national Fabien Fivaz""",About 435 results (0.39 seconds) 
6,"""Nationalrat Beat Flach""","About 5,960 results (0.72 seconds) "
7,"""Nationalrat Kurt Fluri""","About 11,200 results (0.41 seconds) "
8,"""Conseiller national Pierre-Alain Fridez""",About 859 results (0.60 seconds) 
9,"""Nationalrätin Claudia Friedl""","About 2,200 results (0.49 seconds) "
10,"""Nationalrätin Esther Friedli""","About 7,130 results (0.46 seconds) "
11,"""Nationalrätin Tamara Funiciello""","About 2,010 results (0.41 seconds) "
12,"""Nationalrat Andreas Gafner""",About 268 results (0.41 seconds) 
13,"""Nationalrätin Andrea Martina Geissbühler""",About 50 results (0.44 seconds) 
14,"""Nationalrätin Anna Giacometti""",About 711 results (0.44 seconds) 
15,"""Nationalrat Benjamin Giezendanner""","About 1,720 results (0.50 seconds) "
16,"""Nationalrat Bastien Girod""","About 5,500 results (0.67 seconds) "
17,"""Nationalrätin Ida Glanzmann-Hunkeler""","About 1,400 results (0.39 seconds) "
18,"""Nationalrat Andreas Glarner""","About 51,700 results (0.73 seconds) "
19,"""Nationalrat Balthasar Glättli""","About 9,650 results (0.69 seconds) "
20,"""Nationalrat Alois Gmür""","About 2,950 results (0.48 seconds) "
21,"""Nationalrätin Petra Gössi""","About 2,880 results (0.44 seconds) "
22,"""Nationalrätin Edith Graf-Litscher""","About 5,500 results (0.42 seconds) "
23,"""Nationalrätin Corina Gredig""","About 1,040 results (0.56 seconds) "
24,"""Conseiller national Jean-Pierre Grin""","About 1,370 results (0.60 seconds) "
25,"""Nationalrat Jürg Grossen""","About 3,490 results (0.58 seconds) "
26,"""Nationalrat Franz Grüter""","About 9,790 results (0.72 seconds) "
27,"""Conseiller national Jean-Paul Gschwind""",About 439 results (0.49 seconds) 
28,"""Nationalrat Niklaus-Samuel Gugger""",About 315 results (0.45 seconds) 
29,"""Nationalrat Lars Guggisberg""","About 1,340 results (0.39 seconds) "
30,"""Nationalrätin Diana Gutjahr""","About 5,010 results (0.48 seconds) "
31,"""Nationalrätin Barbara Gysi""","About 5,190 results (0.42 seconds) "
32,"""Nationalrätin Greta Gysin""",About 325 results (0.39 seconds) 
33,"""Nationalrat Martin Haab""","About 1,140 results (0.39 seconds) "
34,"""Nationalrat Alfred Heer""","About 13,700 results (0.85 seconds) "
35,"""Nationalrätin Stefanie Heimgartner""",About 614 results (0.48 seconds) 
36,"""Nationalrätin Verena Herzog""","About 4,530 results (0.41 seconds) "
37,"""Nationalrat Erich Hess""","About 3,110 results (0.84 seconds) "
38,"""Nationalrat Lorenz Hess""","About 4,090 results (0.60 seconds) "
39,"""Nationalrat Alois Huber""",About 376 results (0.37 seconds) 
40,"""Nationalrätin Ruth Humbel""","About 8,700 results (0.45 seconds) "
41,"""Conseiller national Baptiste Hurni""",About 100 results (0.45 seconds) 
42,"""Nationalrat Thomas Hurter""","About 9,050 results (0.66 seconds) "
43,"""Nationalrat Christian Imark""","About 8,490 results (0.70 seconds) "
44,"""Nationalrat Beat Jans""","About 6,620 results (0.71 seconds) "
45,"""Nationalrat Matthias Samuel Jauslin""",About 811 results (0.48 seconds) 
