:TYPE	id:END_ID(kanton_jahr_id)	kanton_id:START_ID(kanton_id)
KANTON_HAT_IM_JAHR	1	1
KANTON_HAT_IM_JAHR	2	2
KANTON_HAT_IM_JAHR	3	3
KANTON_HAT_IM_JAHR	4	4
KANTON_HAT_IM_JAHR	5	5
KANTON_HAT_IM_JAHR	6	6
KANTON_HAT_IM_JAHR	7	7
KANTON_HAT_IM_JAHR	8	8
KANTON_HAT_IM_JAHR	9	9
KANTON_HAT_IM_JAHR	10	10
KANTON_HAT_IM_JAHR	11	11
KANTON_HAT_IM_JAHR	12	12
KANTON_HAT_IM_JAHR	13	13
KANTON_HAT_IM_JAHR	14	14
KANTON_HAT_IM_JAHR	15	15
KANTON_HAT_IM_JAHR	16	16
KANTON_HAT_IM_JAHR	17	17
KANTON_HAT_IM_JAHR	18	18
KANTON_HAT_IM_JAHR	19	19
KANTON_HAT_IM_JAHR	20	20
KANTON_HAT_IM_JAHR	21	21
KANTON_HAT_IM_JAHR	22	22
KANTON_HAT_IM_JAHR	23	23
KANTON_HAT_IM_JAHR	24	24
KANTON_HAT_IM_JAHR	25	25
KANTON_HAT_IM_JAHR	26	26
